address,balance_lamports,balance_sol,data_size
CHuuiqA8k3jDHH1ZApZTT9B8dk9rLWPxpAM9iyvX4osT,459248640,0.45924864,65856
6vrydwdRLEKHNUHWfidXMx8xXQoEdh1w68RJnqMyTNjW,459248640,0.45924864,65856
6NhB1d3em6aRrgL2mdH7P5QZksrfCh9QtKK4yZgif2Hv,459248640,0.45924864,65856
7kJknus28FkfbmqPGkmY1AExhxusPK9AxfpyynxrcZh1,459248640,0.45924864,65856
GeeBSexd32tuh16JSc5LMke8uiNxnehsytTgT8QG5Ei,459248640,0.45924864,65856
9yWP4mSMkp1ruXx7HNFwgaTdn6sZWrhVaVE5edAfT9nZ,459248640,0.45924864,65856
4UdgzppSJvEYZiNH5L17uer9Zu1L1GpX9PYwqA4FpVwF,459248640,0.45924864,65856
9FVDShDwJT9VCWwctWBaJGPt9X1SqeJ3ZqXG5NKBdQBc,459248640,0.45924864,65856
WFDnDGdzJ7ik9fCXkU93STq3k8ytMQgjoEcMGPF8ZqT,459248640,0.45924864,65856
E1TNy2JeLydnUA7c8VJLCz7NKHRF9e57n2cBHMeuh2PS,459248640,0.45924864,65856
EcEiXcrz6XrDq3ucRa9h6wnsiJ9ArwadJMHvzgwzWoY6,459248640,0.45924864,65856
AAYeP1CDEsD4vx7fDhUVxtw4kF1RdteWsw4Q9f1m2FP9,459248640,0.45924864,65856
4AYeVu5y5GZNmjrS9VhvV7xmgSC72QvXm3AYyw5Yme2W,459248640,0.45924864,65856
G1cAgbLHdBfDNL7MgFrKDkwL9St5Gj3kZDVSERNiznrx,459248640,0.45924864,65856
21dx192FUa47bC8hiojzKoNCUoGq3z9AEhugWk72w1Mn,459248640,0.45924864,65856
AgjicaVuqQ5rN72kzmGvPrPfX8NEMD5kvmARCmpvLEHo,459248640,0.45924864,65856
AaroXUXMmHwtoXbM96yaowanTQMrQ3ELLt7MFKsqNLdr,459248640,0.45924864,65856
D2PmsRVe2oBzJNKpGaq8qHUxiCGEXCG8ECn72GQEqbDD,459248640,0.45924864,65856
GmmGCy1WVSPes1iajzf77fMNDyD8PNTwzHhnsYWqooyF,459248640,0.45924864,65856
BZP2F1L4FwCaeTPmCmfGiVJAiMFwGawo5mbLj4JFzwEd,3674880,0.00367488,400
BEidDSbPxVC7RyexVLUyKDcQQhSXHL1kDajfbQxBD3Y9,459248640,0.45924864,65856
DrjTgQHUX9XwNg6ZpMKYJT1JD1aTf6BCWF8QGc614Cd9,459248640,0.45924864,65856
BQDXnmJtSbnSrevS457JaedDffEsSo7vYJ8bvXrkPuCW,459248640,0.45924864,65856
B3HX3LtKNuJRAxFWsYy226t39FnLaWACYwsyr21Cf1jr,459248640,0.45924864,65856
7ixbnMRAo2nLmzxADTYopQReuVbnsuhBL9WzCEA6WRgj,459248640,0.45924864,65856
B4y4x1WDY9rEcQ57qFd3ERdAwdkYVT575BgXV5XekEMm,459248640,0.45924864,65856
5eN66XSb5grT3kJJLVXbVqyBtiLzs3Aina2sxf9M1hHs,459248640,0.45924864,65856
45gPs2x6nf4wkXTgCnzYsWo4sf4TDny4XyJt6e2rdgQL,459248640,0.45924864,65856
6Fx6GBV83TCXhnoWZPsJbnTweBaZN3wEoQdm5SoDqWbh,459248640,0.45924864,65856
3B2v7aKN6YtpLSsRVMnBa9UUZv2L8Hi2PJcZusvTWcQx,459248640,0.45924864,65856
CKVuhyMQdFmVhpSBtyy14C1Q9sxVWD65nVRXueKLSNg3,459248640,0.45924864,65856
F32Je1jaNKZfEt8XSHPjCzmTeX1JgkQTsXBHADQRi85A,459248640,0.45924864,65856
4Z6HtN7KF3LFQFGqaepEBpEp6G6PoetgEatfNFRfp1tR,459248640,0.45924864,65856
F7oUELtjzW9WgVSPPH9pJFz5PiyhkXnh3sqXFbFZHGWg,459248640,0.45924864,65856
2M3QG5rma7vKGFU2Dfwv9LuTxQJPaisXXJRLaKXvZZAC,459248640,0.45924864,65856
8orjtHq5BSaWjCoh58zbAF6pQxrVQgofVRHrpSQfoEyt,459248640,0.45924864,65856
EvdnLo2HFNcyCeiUDCJ2kcbowmBoTr5h4bKG8tQx6Sfg,459248640,0.45924864,65856
FiQbibD1mmVpUSn6Qi3AXnzetWHnJyNnC3NjeVoEwWGy,459248640,0.45924864,65856
2HKPvkPPt7PcAJwiFrUETNhdmLFB8KSUMfZJRMBNJWeG,459248640,0.45924864,65856
HUzv9jnGfeuXABrneZBCf9cN5LtkEb3QVKHZGQGeDW9a,459248640,0.45924864,65856
